110.25 101 
-9.35384 -4.66729 0.307116 
-9.30698 -4.92166 0.349954 
-9.26312 -5.17407 0.394826 
-9.22223 -5.42461 0.441702 
-9.18426 -5.67333 0.490551 
-9.14915 -5.92031 0.541348 
-9.11686 -6.16562 0.59407 
-9.08735 -6.40931 0.648697 
-9.06057 -6.65145 0.705211 
-9.03647 -6.8921 0.763596 
-9.01503 -7.13133 0.82384 
-8.99619 -7.36919 0.885932 
-8.97992 -7.60575 0.949865 
-8.96618 -7.84105 1.01563 
-8.95493 -8.07516 1.08323 
-8.94613 -8.30812 1.15265 
-8.93975 -8.53999 1.2239 
-8.93575 -8.77082 1.29698 
-8.93411 -9.00066 1.3719 
-8.93477 -9.22956 1.44865 
-8.93772 -9.45756 1.52725 
-8.94292 -9.68471 1.60771 
-8.95034 -9.91105 1.69003 
-8.95994 -10.1366 1.77423 
-8.97171 -10.3615 1.86033 
-8.98561 -10.5856 1.94833 
-9.00161 -10.8091 2.03825 
-9.01968 -11.032 2.13011 
-9.03981 -11.2543 2.22394 
-9.06195 -11.4761 2.31974 
-9.08609 -11.6973 2.41755 
-9.1122 -11.9181 2.51739 
-9.14026 -12.1383 2.61928 
-9.17024 -12.3582 2.72324 
-9.20212 -12.5776 2.8293 
-9.23588 -12.7967 2.9375 
-9.27149 -13.0154 3.04786 
-9.30892 -13.2337 3.1604 
-9.34817 -13.4517 3.27516 
-9.38921 -13.6694 3.39218 
-9.43201 -13.8867 3.51148 
-9.47656 -14.1038 3.63309 
-9.52283 -14.3206 3.75706 
-9.57081 -14.5372 3.88341 
-9.62047 -14.7535 4.01219 
-9.6718 -14.9695 4.14343 
-9.72478 -15.1852 4.27716 
-9.77938 -15.4008 4.41343 
-9.8356 -15.616 4.55227 
-9.8934 -15.831 4.69372 
-9.95278 -16.0458 4.83783 
-10.0137 -16.2603 4.98463 
-10.0762 -16.4745 5.13416 
-10.1402 -16.6884 5.28647 
-10.2056 -16.902 5.44159 
-10.2726 -17.1153 5.59958 
-10.341 -17.3283 5.76047 
-10.4109 -17.541 5.9243 
-10.4822 -17.7533 6.09112 
-10.5549 -17.9652 6.26097 
-10.629 -18.1767 6.43389 
-10.7045 -18.3877 6.60994 
-10.7813 -18.5983 6.78914 
-10.8595 -18.8084 6.97155 
-10.939 -19.0179 7.15721 
-11.0198 -19.2269 7.34616 
-11.1018 -19.4353 7.53845 
-11.1852 -19.643 7.73411 
-11.2698 -19.85 7.9332 
-11.3556 -20.0563 8.13575 
-11.4426 -20.2619 8.3418 
-11.5308 -20.4665 8.55141 
-11.6201 -20.6703 8.7646 
-11.7106 -20.8732 8.98142 
-11.8022 -21.075 9.2019 
-11.895 -21.2758 9.4261 
-11.9888 -21.4755 9.65404 
-12.0836 -21.6739 9.88576 
-12.1796 -21.8711 10.1213 
-12.2765 -22.067 10.3607 
-12.3744 -22.2615 10.604 
-12.4732 -22.4545 10.8512 
-12.5731 -22.646 11.1023 
-12.6738 -22.8358 11.3574 
-12.7754 -23.0239 11.6166 
-12.8779 -23.2101 11.8797 
-12.9812 -23.3945 12.1469 
-13.0853 -23.5769 12.4182 
-13.1903 -23.7572 12.6936 
-13.2959 -23.9354 12.9731 
-13.4023 -24.1112 13.2568 
-13.5094 -24.2847 13.5446 
-10 0 5.21502e-310 
-9.9 -0.28 5.20111e-310 
-9.8038 -0.55692 0.002772 
-9.71133 -0.830842 0.00822454 
-9.62253 -1.10185 0.0162712 
-9.53732 -1.37002 0.0268304 
-9.45565 -1.63544 0.0398252 
-9.37744 -1.89819 0.0551831 
-9.30265 -2.15834 0.0728361 
-9.23121 -2.41598 0.0927201 
-9.16306 -2.67118 0.114775 
-9.09814 -2.92402 0.138945 
-9.0364 -3.17458 0.165178 
-8.97778 -3.42293 0.193424 
-8.92223 -3.66915 0.223639 
-8.8697 -3.91331 0.255779 
-8.82014 -4.15548 0.289807 
-8.77349 -4.39573 0.325686 
-8.72971 -4.63414 0.363384 
-8.68876 -4.87076 0.402869 
-8.65058 -5.10568 0.444116 
-8.61513 -5.33894 0.487099 
-8.58236 -5.57063 0.531795 
-8.55225 -5.8008 0.578187 
-8.52473 -6.02952 0.626255 
-8.49978 -6.25685 0.675985 
-8.47735 -6.48284 0.727364 
-8.45741 -6.70755 0.780381 
-8.43991 -6.93105 0.835029 
-8.42482 -7.15339 0.8913 
-8.4121 -7.37462 0.949189 
-8.40173 -7.5948 1.00869 
-8.39366 -7.81398 1.06981 
-8.38786 -8.03221 1.13255 
-8.38431 -8.24954 1.1969 
-8.38296 -8.46602 1.26288 
-8.38379 -8.68169 1.33048 
-8.38677 -8.8966 1.39972 
-8.39187 -9.11079 1.4706 
-8.39906 -9.32431 1.54313 
-8.40831 -9.5372 1.61733 
-8.4196 -9.7495 1.69321 
-8.4329 -9.96124 1.77078 
-8.44818 -10.1725 1.85006 
-8.46542 -10.3832 1.93107 
-8.4846 -10.5935 2.01382 
-8.50569 -10.8034 2.09833 
-8.52867 -11.0129 2.18462 
-8.55351 -11.2221 2.27272 
-8.5802 -11.4309 2.36265 
-8.6087 -11.6394 2.45443 
-8.63901 -11.8477 2.54809 
-8.6711 -12.0558 2.64364 
-8.70494 -12.2636 2.74113 
-8.74053 -12.4712 2.84057 
-8.77784 -12.6786 2.942 
-8.81684 -12.8859 3.04545 
-8.85754 -13.093 3.15094 
-8.89989 -13.3 3.25851 
-8.94389 -13.5069 3.36819 
-8.98952 -13.7137 3.48001 
-9.03676 -13.9204 3.59401 
-9.0856 -14.1271 3.71022 
-9.13602 -14.3336 3.82868 
-9.18799 -14.5401 3.94943 
-9.24151 -14.7466 4.07249 
-9.29656 -14.9529 4.19791 
-9.35313 -15.1593 4.32573 
-9.41119 -15.3655 4.45598 
-9.47073 -15.5717 4.5887 
-9.53174 -15.7779 4.72394 
-9.5942 -15.984 4.86174 
-9.6581 -16.19 5.00212 
-9.72342 -16.3959 5.14515 
-9.79015 -16.6017 5.29085 
-9.85826 -16.8075 5.43928 
-9.92775 -17.0131 5.59047 
-9.99861 -17.2185 5.74446 
-10.0708 -17.4238 5.9013 
-10.1443 -17.629 6.06104 
-10.2192 -17.8339 6.22371 
-10.2953 -18.0386 6.38936 
-10.3728 -18.243 6.55804 
-10.4515 -18.4472 6.72978 
-10.5314 -18.6511 6.90463 
-10.6126 -18.8546 7.08264 
-10.695 -19.0577 7.26385 
-10.7787 -19.2604 7.44831 
-10.8635 -19.4627 7.63604 
-10.9495 -19.6645 7.82711 
-11.0366 -19.8657 8.02156 
-11.1249 -20.0663 8.21942 
-11.2143 -20.2663 8.42073 
-11.3048 -20.4656 8.62555 
-11.3965 -20.6642 8.83391 
-11.4891 -20.8619 9.04585 
-11.5829 -21.0588 9.26142 
-11.6776 -21.2548 9.48064 
-11.7734 -21.4498 9.70356 
-11.8702 -21.6438 9.93022 
-11.9679 -21.8366 10.1607 
-12.0666 -22.0283 10.3949 
-10 2 5.21502e-310 
-9.88 1.718 -0.02 
-9.76402 1.43944 -0.0369205 
-9.65199 1.16425 -0.0508768 
-9.54382 0.892341 -0.0619785 
-9.43946 0.62363 -0.0703296 
-9.33883 0.358038 -0.0760287 
-9.24186 0.0954824 -0.0791697 
-9.14849 -0.164117 -0.079841 
-9.05864 -0.420841 -0.0781266 
-8.97227 -0.67477 -0.0741061 
-8.88929 -0.925983 -0.0678542 
-8.80966 -1.17456 -0.0594419 
-8.73331 -1.42058 -0.0489359 
-8.66018 -1.66412 -0.0363991 
-8.59022 -1.90526 -0.0218904 
-8.52337 -2.14406 -0.00546551 
-8.45958 -2.38062 0.0128237 
-8.39879 -2.615 0.0329286 
-8.34095 -2.84728 0.0548036 
-8.28601 -3.07752 0.0784064 
-8.23393 -3.3058 0.103698 
-8.18465 -3.53219 0.130641 
-8.13812 -3.75676 0.159202 
-8.09431 -3.97957 0.189351 
-8.05316 -4.2007 0.221058 
-8.01464 -4.42021 0.254297 
-7.97869 -4.63816 0.289045 
-7.94529 -4.85462 0.325281 
-7.91438 -5.06965 0.362985 
-7.88593 -5.28331 0.40214 
-7.85991 -5.49566 0.442731 
-7.83626 -5.70676 0.484746 
-7.81497 -5.91667 0.528173 
-7.79599 -6.12545 0.573003 
-7.77928 -6.33314 0.619229 
